+--------------------------------------------------------------------------------------------------+--------+-----------------+
|                                         Nombre artículo                                          |  $$$   |     Almacen     |
|                                           Durazno (Kg)                                           |  92    | Tienda Inglesa  |
|                                      Durazno aprox. x 130 g                                      |  10    |     Devoto      |
|                                      Durazno aprox. x 130 g                                      |  10    |      Disco      |
|                                     Dátiles con Carozo 200 g                                     |  119   |     Devoto      |
|                                     Dátiles con Carozo 200 g                                     |  119   |      Disco      |
|             Echalote sabor Intermedio entre la Cebolla y el Ajo PINGAKOL Bolsa 150g              |  99    | Tienda Inglesa  |
|                                        Echalotte en malla                                        |  90    |     Devoto      |
|                                      Endivia Importada 300g                                      |  199   | Tienda Inglesa  |
|                                        Endivia importada                                         |  170   |     Devoto      |
|                                        Endivia importada                                         |  170   |      Disco      |
|                                     Eneldo Finas Hierbas 30g                                     |  61    | Tienda Inglesa  |
|                                      Eneldo Nuestra Quinta                                       |  50    |     Devoto      |
|                                      Ensalada DUO  150 grs                                       |  116   | Tienda Inglesa  |
|      Ensalada Estilo Gourmet Rúcula, Mizuna, Mostaza Morada y Lechuga GRANJA MALLORCA  150g      |  112   | Tienda Inglesa  |
|                                 Ensalada Gourmet GRANJA MALLORCA                                 |  90    |      Disco      |
|         Ensalada Mix Lechuga Americana, Zanahoria y Repollo Morado Rodyvell GRANJA 500g          |  142   | Tienda Inglesa  |
|                                      Ensalada Waldorf 400 g                                      |  70    |     Devoto      |
| Ensalada de Mizuna, Mostaza, Lechuga y Rúcula Pronta para Consumir Triple Lavado GRANJA MALLORCA |  148   | Tienda Inglesa  |
|   Ensalada de Remolacha, Zanahoria, Lechuga y Tomate Cherry GRANJA JUAN DELPINO  Messina 250g    |  99    | Tienda Inglesa  |
|                   Ensalada fresca Club Verde lechuga zanahoria repo pote 200 g                   |  100   |     Devoto      |
|                   Ensalada fresca Club Verde lechuga zanahoria repo pote 200 g                   |  100   |      Disco      |
|                    Ensalada gourmet Club Verde cap rucula che palycham 200 g                     |  115   |     Devoto      |
|                    Ensalada gourmet Club Verde cap rucula che palycham 200 g                     |  115   |      Disco      |
|                                  Ensalada mix Club Verde 500 g                                   |  116   |     Devoto      |
|                     Ensalada mix Club Verde lechuga zanahoria y cherry 200 g                     |  100   |      Disco      |
|                      Ensalada picnic Club Verde lechuga rúcula cherry 200 g                      |  100   |      Disco      |
|                                  Ensalada toscana los quinteros                                  |  119   |     Devoto      |
|                                  Ensalada toscana los quinteros                                  |  119   |      Disco      |
|                                     Escarola aprox. x 200 g                                      |   8    |      Disco      |
|                                    Esparrago Verde Importado                                     |  350   |      Disco      |
|                                  Esparrago Verde Importado 450g                                  |  372   | Tienda Inglesa  |
|                                        Espinaca Envasada                                         |  47    |     Devoto      |
|                                      Espinaca Envasada 320g                                      |  42    | Tienda Inglesa  |
|                                Espinaca envasada CLUB VERDE 350 g                                |  47    |      Disco      |
|                                     Estragón NUESTRA QUINTA                                      |  55    |     Devoto      |
|                                     Estragón NUESTRA QUINTA                                      |  55    |      Disco      |
|                                  Estragón Orgánico CAMPO CLARO                                   |  40    |     Devoto      |
|                                  Estragón Orgánico CAMPO CLARO                                   |  40    |      Disco      |
|                                      Frambuesa petaca 125 g                                      |  120   |     Devoto      |
|                                   Fruta glaseada surtida 400 g                                   |  299   |     Devoto      |
|                                        Fruta picada 400 g                                        |  139   |     Devoto      |
|                          Fruta seca mixtas studententutter ÜLTJE 200 g                           |  231   |     Devoto      |
|                          Fruta seca mixtas studententutter ÜLTJE 200 g                           |  231   |      Disco      |
|                                      Frutilla apro x 600 g                                       |  48    |     Devoto      |
|                                      Frutilla apro x 600 g                                       |  90    |     Devoto      |
|                                      Frutilla apro x 600 g                                       |  90    |      Disco      |
|                                     Frutillas en Petaca 500g                                     |  168   | Tienda Inglesa  |
|                                     Girasol Confitero 150 g                                      |  69    |     Devoto      |
|                                 Girasol confitero sin sal 300 g                                  |  109   |     Devoto      |
|                                   Girasol tostado salado 150 g                                   |  100   |     Devoto      |
|                                   Girasol tostado salado 300 g                                   |  175   |     Devoto      |
|                               Granola EMIGRANTE banana y miel 80 g                               |  63    |     Devoto      |
|                               Granola EMIGRANTE banana y miel 80 g                               |  63    |      Disco      |
|                                Granola EMIGRANTE tradicional 80 g                                |  63    |     Devoto      |
|                                Granola EMIGRANTE tradicional 80 g                                |  63    |      Disco      |
|                                  Granola Tradicional bl. 500 g                                   |  189   |     Devoto      |
|                                Granola sin azúcar EMIGRANTE 80 g                                 |  63    |     Devoto      |
|                                Granola sin azúcar EMIGRANTE 80 g                                 |  63    |      Disco      |
|                                Granola sin azúcar agregada 400 g                                 |  199   |     Devoto      |
|                              Granola sin azúcar agregada bl. 500 g                               |  189   |      Disco      |
|                                    Granola tradicional 250 g                                     |  135   |     Devoto      |
|                                    Granola tradicional 400 g                                     |  189   |     Devoto      |
|                          Granola tradicional sin azúcar agregada 250 g                           |  135   |     Devoto      |
|                                Granos de café con chocolate 150 g                                |  195   |      Disco      |
|                             Hojas de Lechuga GRANJA MALLORCA 110 grs                             |  99    | Tienda Inglesa  |
|                                 Hongos Shiitake DON FARRUCO 150g                                 |  289   | Tienda Inglesa  |
|                                 Hongos Shiitake DON FARRUCO 250g                                 |  374   | Tienda Inglesa  |
|                                Hongos shiitake DON FARRUCO 150 g                                 |  265   |     Devoto      |
|                                Hongos shiitake DON FARRUCO 150 g                                 |  265   |      Disco      |
|                                   Jengibre Molido TOTORAL 10g                                    |  55    | Tienda Inglesa  |
|                                     Jengibre aprox. x 200 g                                      |  46    |     Devoto      |
|                                     Jengibre aprox. x 200 g                                      |  46    |      Disco      |
|                                   Jugo natural de naranja 1 L                                    |  189   |     Devoto      |
|                                   Jugo natural de naranja 1 L                                    |  189   |      Disco      |
|                                 Kabutiá orgánico aprox. x 1,5 kg                                 |  75    |     Devoto      |
|                                 Kabutiá orgánico aprox. x 1,5 kg                                 |  75    |      Disco      |
|                                    Kaki deshidratado Mia 50 g                                    |  63    |     Devoto      |
|                                    Kaki deshidratado Mia 50 g                                    |  63    |      Disco      |
|                                      Kale MALLORCA 100 grs                                       |  62    | Tienda Inglesa  |
|                                  Kale Orgánico PUNTO VERDE 200g                                  |  66    | Tienda Inglesa  |
|                               Kale di Toscana Nuestra Quinta 100 g                               |  50    |     Devoto      |
|                                            Kiwi (Kg)                                             |  248   | Tienda Inglesa  |
|                                   Kiwi Dole malla apro x 900 g                                   |  193   |     Devoto      |
|                                   Kiwi Dole malla apro x 900 g                                   |  193   |      Disco      |
|                                  Kiwi Importado aprox. x 100 g                                   |  22    |     Devoto      |
|                                  Kiwi Importado aprox. x 100 g                                   |  22    |      Disco      |
|                                         Kiwi Malla 800g                                          |  228   | Tienda Inglesa  |
|                                  Kiwi en bandeja aprox. x 600 g                                  |  136   |     Devoto      |
|                                  Kiwi en bandeja aprox. x 600 g                                  |  136   |      Disco      |
|                                  Kiwi en cubos Club Verde 350 g                                  |  140   |      Disco      |
|                                              Laurel                                              |  20    |     Devoto      |
|                                  Laurel Fresco GRANJA MALLORCA                                   |  50    |     Devoto      |
|                                  Laurel Fresco GRANJA MALLORCA                                   |  50    |      Disco      |
|                             Laurel GRANJA MALLORCA  Hierbas Frescas                              |  66    | Tienda Inglesa  |
|                                        Laurel fresco 20 g                                        |  40    |     Devoto      |
|                                        Laurel fresco 20 g                                        |  40    |      Disco      |
|                                 Lechuga Americana RODYVELL 250g                                  |  98    | Tienda Inglesa  |
|                                Lechuga Americana RODYVELL 500 gr                                 |  142   | Tienda Inglesa  |
|                                        Lechuga Baby 120 g                                        |  60    |     Devoto      |
|                                        Lechuga Baby 120 g                                        |  60    |      Disco      |
|                                          Lechuga Crespa                                          |  25    |      Disco      |
|                               Lechuga Crespa Blanca TIENDA INGLESA                               |  42    | Tienda Inglesa  |
|                                      Lechuga Crespa Morada                                       |  39    | Tienda Inglesa  |
